Date,ServiceName,MeterCategory,CostUSD,ResourceGroup,Tags,SubscriptionName,Location
2025-10-16,Azure Blob Storage,GRS Data Stored,34.5836,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""staging""}",azure-data-eng,westeurope
2025-10-16,Azure Blob Storage,GRS Data Stored,43.5747,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""development""}",azure-data-eng,eastus
2025-10-16,Azure Blob Storage,GRS Data Stored,42.5201,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""production""}",azure-ml-team,westeurope
2025-10-16,Azure Blob Storage,GRS Data Stored,46.6112,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""staging""}",azure-ml-team,southeastasia
2025-10-16,Azure Blob Storage,GRS Data Stored,39.5274,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""development""}",azure-ml-team,eastus
2025-10-16,Azure Blob Storage,GRS Data Stored,37.0518,frontend-rg,"{""team"": ""frontend"", ""env"": ""production""}",azure-frontend,southeastasia
2025-10-16,Azure Blob Storage,GRS Data Stored,38.1697,frontend-rg,"{""team"": ""frontend"", ""env"": ""staging""}",azure-frontend,eastus
2025-10-16,Azure Blob Storage,GRS Data Stored,38.8184,frontend-rg,"{""team"": ""frontend"", ""env"": ""development""}",azure-frontend,eastus
2025-10-16,Azure Blob Storage,GRS Data Stored,36.5717,backend-rg,"{""team"": ""backend"", ""env"": ""production""}",azure-backend,southeastasia
2025-10-16,Azure Blob Storage,GRS Data Stored,45.3887,backend-rg,"{""team"": ""backend"", ""env"": ""staging""}",azure-backend,eastus
2025-10-16,Azure Blob Storage,GRS Data Stored,45.526,backend-rg,"{""team"": ""backend"", ""env"": ""development""}",azure-backend,eastus
2025-10-16,Azure SQL Database,vCore Hours,78.5903,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,westeurope
2025-10-16,Azure SQL Database,vCore Hours,77.1721,platform-rg,"{""team"": ""platform"", ""env"": ""staging""}",azure-platform,eastus
2025-10-16,Azure SQL Database,vCore Hours,66.9285,platform-rg,"{""team"": ""platform"", ""env"": ""development""}",azure-platform,eastus
2025-10-16,Azure SQL Database,vCore Hours,85.0109,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""production""}",azure-data-eng,westeurope
2025-10-16,Azure SQL Database,vCore Hours,91.9048,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""staging""}",azure-data-eng,westeurope
2025-10-16,Azure SQL Database,vCore Hours,75.4122,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""development""}",azure-data-eng,southeastasia
2025-10-16,Azure SQL Database,vCore Hours,79.1592,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""production""}",azure-ml-team,southeastasia
2025-10-16,Azure SQL Database,vCore Hours,83.1269,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""staging""}",azure-ml-team,eastus
2025-10-16,Azure SQL Database,vCore Hours,92.4158,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""development""}",azure-ml-team,eastus
2025-10-16,Azure SQL Database,vCore Hours,81.4384,frontend-rg,"{""team"": ""frontend"", ""env"": ""production""}",azure-frontend,southeastasia
2025-10-16,Azure SQL Database,vCore Hours,81.4071,frontend-rg,"{""team"": ""frontend"", ""env"": ""staging""}",azure-frontend,southeastasia
2025-10-16,Azure SQL Database,vCore Hours,81.2911,frontend-rg,"{""team"": ""frontend"", ""env"": ""development""}",azure-frontend,westeurope
2025-10-16,Azure SQL Database,vCore Hours,69.7398,backend-rg,"{""team"": ""backend"", ""env"": ""production""}",azure-backend,southeastasia
2025-10-16,Azure SQL Database,vCore Hours,69.5831,backend-rg,"{""team"": ""backend"", ""env"": ""staging""}",azure-backend,eastus
2025-10-16,Azure SQL Database,vCore Hours,74.1824,backend-rg,"{""team"": ""backend"", ""env"": ""development""}",azure-backend,eastus
2025-10-16,Azure Kubernetes Service,Node Hours,56.7403,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,southeastasia
2025-10-16,Azure Kubernetes Service,Node Hours,50.4305,platform-rg,"{""team"": ""platform"", ""env"": ""staging""}",azure-platform,eastus
2025-10-16,Azure Kubernetes Service,Node Hours,49.5215,platform-rg,"{""team"": ""platform"", ""env"": ""development""}",azure-platform,eastus
2025-10-16,Azure Kubernetes Service,Node Hours,49.4392,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""production""}",azure-data-eng,westeurope
2025-10-16,Azure Kubernetes Service,Node Hours,51.3558,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""staging""}",azure-data-eng,eastus
2025-10-16,Azure Kubernetes Service,Node Hours,59.9659,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""development""}",azure-data-eng,eastus
2025-10-16,Azure Kubernetes Service,Node Hours,51.2924,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""production""}",azure-ml-team,westeurope
2025-10-16,Azure Kubernetes Service,Node Hours,48.3201,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""staging""}",azure-ml-team,eastus
2025-10-16,Azure Kubernetes Service,Node Hours,52.1181,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""development""}",azure-ml-team,southeastasia
2025-10-16,Azure Kubernetes Service,Node Hours,60.2138,frontend-rg,"{""team"": ""frontend"", ""env"": ""production""}",azure-frontend,westeurope
2025-10-16,Azure Kubernetes Service,Node Hours,49.6468,frontend-rg,"{""team"": ""frontend"", ""env"": ""staging""}",azure-frontend,eastus
2025-10-16,Azure Kubernetes Service,Node Hours,46.4729,frontend-rg,"{""team"": ""frontend"", ""env"": ""development""}",azure-frontend,westeurope
2025-10-16,Azure Kubernetes Service,Node Hours,49.6554,backend-rg,"{""team"": ""backend"", ""env"": ""production""}",azure-backend,southeastasia
2025-10-16,Azure Kubernetes Service,Node Hours,52.6026,backend-rg,"{""team"": ""backend"", ""env"": ""staging""}",azure-backend,southeastasia
2025-10-16,Azure Kubernetes Service,Node Hours,55.221,backend-rg,"{""team"": ""backend"", ""env"": ""development""}",azure-backend,westeurope
2025-10-16,Azure CDN,GB Transferred,13.8145,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,eastus
2025-10-16,Azure CDN,GB Transferred,11.4745,platform-rg,"{""team"": ""platform"", ""env"": ""staging""}",azure-platform,eastus
2025-10-16,Azure CDN,GB Transferred,11.5827,platform-rg,"{""team"": ""platform"", ""env"": ""development""}",azure-platform,westeurope
2025-10-16,Azure CDN,GB Transferred,12.2981,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""production""}",azure-data-eng,eastus
2025-10-16,Azure CDN,GB Transferred,13.447,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""staging""}",azure-data-eng,southeastasia
2025-10-16,Azure CDN,GB Transferred,11.2303,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""development""}",azure-data-eng,eastus
2025-10-16,Azure CDN,GB Transferred,11.9743,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""production""}",azure-ml-team,eastus
2025-10-16,Azure CDN,GB Transferred,11.9909,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""staging""}",azure-ml-team,westeurope
2025-10-16,Azure CDN,GB Transferred,13.7403,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""development""}",azure-ml-team,southeastasia
2025-10-16,Azure CDN,GB Transferred,13.2689,frontend-rg,"{""team"": ""frontend"", ""env"": ""production""}",azure-frontend,southeastasia
2025-10-16,Azure CDN,GB Transferred,13.6969,frontend-rg,"{""team"": ""frontend"", ""env"": ""staging""}",azure-frontend,southeastasia
2025-10-16,Azure CDN,GB Transferred,14.1928,frontend-rg,"{""team"": ""frontend"", ""env"": ""development""}",azure-frontend,southeastasia
2025-10-16,Azure CDN,GB Transferred,12.3182,backend-rg,"{""team"": ""backend"", ""env"": ""production""}",azure-backend,eastus
2025-10-16,Azure CDN,GB Transferred,11.313,backend-rg,"{""team"": ""backend"", ""env"": ""staging""}",azure-backend,eastus
2025-10-16,Azure CDN,GB Transferred,11.3204,backend-rg,"{""team"": ""backend"", ""env"": ""development""}",azure-backend,westeurope
2025-10-16,Azure Functions,Executions,12.2404,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,southeastasia
2025-10-16,Azure Functions,Executions,14.0611,platform-rg,"{""team"": ""platform"", ""env"": ""staging""}",azure-platform,westeurope
2025-10-16,Azure Functions,Executions,14.1595,platform-rg,"{""team"": ""platform"", ""env"": ""development""}",azure-platform,southeastasia
2025-10-16,Azure Functions,Executions,15.7062,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""production""}",azure-data-eng,eastus
2025-10-16,Azure Functions,Executions,14.689,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""staging""}",azure-data-eng,southeastasia
2025-10-16,Azure Functions,Executions,14.0194,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""development""}",azure-data-eng,southeastasia
2025-10-16,Azure Functions,Executions,14.5135,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""production""}",azure-ml-team,southeastasia
2025-10-16,Azure Functions,Executions,13.2952,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""staging""}",azure-ml-team,eastus
2025-10-16,Azure Functions,Executions,16.0202,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""development""}",azure-ml-team,westeurope
2025-10-16,Azure Functions,Executions,13.6293,frontend-rg,"{""team"": ""frontend"", ""env"": ""production""}",azure-frontend,eastus
2025-10-16,Azure Functions,Executions,13.162,frontend-rg,"{""team"": ""frontend"", ""env"": ""staging""}",azure-frontend,westeurope
2025-10-16,Azure Functions,Executions,15.7463,frontend-rg,"{""team"": ""frontend"", ""env"": ""development""}",azure-frontend,westeurope
2025-10-16,Azure Functions,Executions,15.4246,backend-rg,"{""team"": ""backend"", ""env"": ""production""}",azure-backend,eastus
2025-10-16,Azure Functions,Executions,12.3914,backend-rg,"{""team"": ""backend"", ""env"": ""staging""}",azure-backend,eastus
2025-10-16,Azure Functions,Executions,15.7953,backend-rg,"{""team"": ""backend"", ""env"": ""development""}",azure-backend,southeastasia
2025-10-16,Azure Bandwidth,GB Egress,23.6425,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,southeastasia
2025-10-16,Azure Bandwidth,GB Egress,24.4804,platform-rg,"{""team"": ""platform"", ""env"": ""staging""}",azure-platform,eastus
2025-10-16,Azure Bandwidth,GB Egress,25.7597,platform-rg,"{""team"": ""platform"", ""env"": ""development""}",azure-platform,southeastasia
2025-10-16,Azure Bandwidth,GB Egress,26.6708,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""production""}",azure-data-eng,westeurope
2025-10-16,Azure Bandwidth,GB Egress,26.349,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""staging""}",azure-data-eng,eastus
2025-10-16,Azure Bandwidth,GB Egress,25.2197,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""development""}",azure-data-eng,westeurope
2025-10-16,Azure Bandwidth,GB Egress,24.3651,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""production""}",azure-ml-team,southeastasia
2025-10-16,Azure Bandwidth,GB Egress,26.2732,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""staging""}",azure-ml-team,westeurope
2025-10-16,Azure Bandwidth,GB Egress,25.0634,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""development""}",azure-ml-team,westeurope
2025-10-16,Azure Bandwidth,GB Egress,29.4495,frontend-rg,"{""team"": ""frontend"", ""env"": ""production""}",azure-frontend,westeurope
2025-10-16,Azure Bandwidth,GB Egress,26.6703,frontend-rg,"{""team"": ""frontend"", ""env"": ""staging""}",azure-frontend,southeastasia
2025-10-16,Azure Bandwidth,GB Egress,23.2279,frontend-rg,"{""team"": ""frontend"", ""env"": ""development""}",azure-frontend,southeastasia
2025-10-16,Azure Bandwidth,GB Egress,24.2444,backend-rg,"{""team"": ""backend"", ""env"": ""production""}",azure-backend,eastus
2025-10-16,Azure Bandwidth,GB Egress,25.4432,backend-rg,"{""team"": ""backend"", ""env"": ""staging""}",azure-backend,eastus
2025-10-16,Azure Bandwidth,GB Egress,28.296,backend-rg,"{""team"": ""backend"", ""env"": ""development""}",azure-backend,southeastasia
2025-10-17,Virtual Machines,Compute Hours,285.6778,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,eastus
2025-10-17,Virtual Machines,Compute Hours,244.448,platform-rg,"{""team"": ""platform"", ""env"": ""staging""}",azure-platform,southeastasia
2025-10-17,Virtual Machines,Compute Hours,232.1857,platform-rg,"{""team"": ""platform"", ""env"": ""development""}",azure-platform,southeastasia
2025-10-17,Virtual Machines,Compute Hours,229.2687,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""production""}",azure-data-eng,eastus
2025-10-17,Virtual Machines,Compute Hours,259.2442,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""staging""}",azure-data-eng,southeastasia
2025-10-17,Virtual Machines,Compute Hours,306.0431,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""development""}",azure-data-eng,westeurope
2025-10-17,Virtual Machines,Compute Hours,265.7841,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""production""}",azure-ml-team,eastus
2025-10-17,Virtual Machines,Compute Hours,217.1223,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""staging""}",azure-ml-team,eastus
2025-10-17,Virtual Machines,Compute Hours,236.9225,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""development""}",azure-ml-team,eastus
2025-10-17,Virtual Machines,Compute Hours,239.2516,frontend-rg,"{""team"": ""frontend"", ""env"": ""production""}",azure-frontend,eastus
2025-10-17,Virtual Machines,Compute Hours,234.7324,frontend-rg,"{""team"": ""frontend"", ""env"": ""staging""}",azure-frontend,southeastasia
2025-10-17,Virtual Machines,Compute Hours,244.636,frontend-rg,"{""team"": ""frontend"", ""env"": ""development""}",azure-frontend,eastus
2025-10-17,Virtual Machines,Compute Hours,261.9126,backend-rg,"{""team"": ""backend"", ""env"": ""production""}",azure-backend,southeastasia
2025-10-17,Virtual Machines,Compute Hours,269.0438,backend-rg,"{""team"": ""backend"", ""env"": ""staging""}",azure-backend,eastus
2025-10-17,Virtual Machines,Compute Hours,278.3925,backend-rg,"{""team"": ""backend"", ""env"": ""development""}",azure-backend,eastus
2025-10-17,Azure Blob Storage,GRS Data Stored,42.6108,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,eastus
2025-10-17,Azure Blob Storage,GRS Data Stored,33.5346,platform-rg,"{""team"": ""platform"", ""env"": ""staging""}",azure-platform,eastus
2025-10-17,Azure Blob Storage,GRS Data Stored,36.819,platform-rg,"{""team"": ""platform"", ""env"": ""development""}",azure-platform,eastus
2025-10-17,Azure Blob Storage,GRS Data Stored,40.1121,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""production""}",azure-data-eng,westeurope
2025-10-17,Azure Blob Storage,GRS Data Stored,41.2304,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""staging""}",azure-data-eng,westeurope
2025-10-17,Azure Blob Storage,GRS Data Stored,43.8457,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""development""}",azure-data-eng,eastus
2025-10-17,Azure Blob Storage,GRS Data Stored,40.8492,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""production""}",azure-ml-team,southeastasia
2025-10-17,Azure Blob Storage,GRS Data Stored,40.8768,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""staging""}",azure-ml-team,westeurope
2025-10-17,Azure Blob Storage,GRS Data Stored,41.5619,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""development""}",azure-ml-team,eastus
2025-10-17,Azure Blob Storage,GRS Data Stored,39.7571,frontend-rg,"{""team"": ""frontend"", ""env"": ""production""}",azure-frontend,southeastasia
2025-10-17,Azure Blob Storage,GRS Data Stored,41.0093,frontend-rg,"{""team"": ""frontend"", ""env"": ""staging""}",azure-frontend,eastus
2025-10-17,Azure Blob Storage,GRS Data Stored,44.8141,frontend-rg,"{""team"": ""frontend"", ""env"": ""development""}",azure-frontend,eastus
2025-10-17,Azure Blob Storage,GRS Data Stored,40.3838,backend-rg,"{""team"": ""backend"", ""env"": ""production""}",azure-backend,eastus
2025-10-17,Azure Blob Storage,GRS Data Stored,40.5804,backend-rg,"{""team"": ""backend"", ""env"": ""staging""}",azure-backend,southeastasia
2025-10-17,Azure Blob Storage,GRS Data Stored,40.5681,backend-rg,"{""team"": ""backend"", ""env"": ""development""}",azure-backend,southeastasia
2025-10-17,Azure SQL Database,vCore Hours,89.3976,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,eastus
2025-10-17,Azure SQL Database,vCore Hours,72.0652,platform-rg,"{""team"": ""platform"", ""env"": ""staging""}",azure-platform,westeurope
2025-10-17,Azure SQL Database,vCore Hours,92.8418,platform-rg,"{""team"": ""platform"", ""env"": ""development""}",azure-platform,southeastasia
2025-10-17,Azure SQL Database,vCore Hours,71.573,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""production""}",azure-data-eng,westeurope
2025-10-17,Azure SQL Database,vCore Hours,75.3348,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""staging""}",azure-data-eng,southeastasia
2025-10-17,Azure SQL Database,vCore Hours,85.4133,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""development""}",azure-data-eng,westeurope
2025-10-17,Azure SQL Database,vCore Hours,87.4707,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""production""}",azure-ml-team,eastus
2025-10-17,Azure SQL Database,vCore Hours,69.9367,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""staging""}",azure-ml-team,southeastasia
2025-10-17,Azure SQL Database,vCore Hours,72.1758,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""development""}",azure-ml-team,eastus
2025-10-17,Azure SQL Database,vCore Hours,82.0497,frontend-rg,"{""team"": ""frontend"", ""env"": ""production""}",azure-frontend,eastus
2025-10-17,Azure SQL Database,vCore Hours,96.9379,frontend-rg,"{""team"": ""frontend"", ""env"": ""staging""}",azure-frontend,westeurope
2025-10-17,Azure SQL Database,vCore Hours,89.0265,frontend-rg,"{""team"": ""frontend"", ""env"": ""development""}",azure-frontend,westeurope
2025-10-17,Azure SQL Database,vCore Hours,78.2606,backend-rg,"{""team"": ""backend"", ""env"": ""production""}",azure-backend,eastus
2025-10-17,Azure SQL Database,vCore Hours,62.6198,backend-rg,"{""team"": ""backend"", ""env"": ""staging""}",azure-backend,eastus
2025-10-17,Azure SQL Database,vCore Hours,80.6362,backend-rg,"{""team"": ""backend"", ""env"": ""development""}",azure-backend,westeurope
2025-10-17,Azure Kubernetes Service,Node Hours,53.7278,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,eastus
2025-10-17,Azure Kubernetes Service,Node Hours,50.2391,platform-rg,"{""team"": ""platform"", ""env"": ""staging""}",azure-platform,southeastasia
2025-10-17,Azure Kubernetes Service,Node Hours,48.0474,platform-rg,"{""team"": ""platform"", ""env"": ""development""}",azure-platform,eastus
2025-10-17,Azure Kubernetes Service,Node Hours,52.7765,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""production""}",azure-data-eng,southeastasia
2025-10-17,Azure Kubernetes Service,Node Hours,47.6188,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""staging""}",azure-data-eng,westeurope
2025-10-17,Azure Kubernetes Service,Node Hours,60.7995,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""development""}",azure-data-eng,eastus
2025-10-17,Azure Kubernetes Service,Node Hours,59.1338,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""production""}",azure-ml-team,eastus
2025-10-17,Azure Kubernetes Service,Node Hours,55.1121,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""staging""}",azure-ml-team,eastus
2025-10-17,Azure Kubernetes Service,Node Hours,52.4513,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""development""}",azure-ml-team,eastus
2025-10-17,Azure Kubernetes Service,Node Hours,48.9398,frontend-rg,"{""team"": ""frontend"", ""env"": ""production""}",azure-frontend,eastus
2025-10-17,Azure Kubernetes Service,Node Hours,51.9339,frontend-rg,"{""team"": ""frontend"", ""env"": ""staging""}",azure-frontend,eastus
2025-10-17,Azure Kubernetes Service,Node Hours,59.7077,frontend-rg,"{""team"": ""frontend"", ""env"": ""development""}",azure-frontend,westeurope
2025-10-17,Azure Kubernetes Service,Node Hours,56.0989,backend-rg,"{""team"": ""backend"", ""env"": ""production""}",azure-backend,eastus
2025-10-17,Azure Kubernetes Service,Node Hours,52.9851,backend-rg,"{""team"": ""backend"", ""env"": ""staging""}",azure-backend,westeurope
2025-10-17,Azure Kubernetes Service,Node Hours,56.358,backend-rg,"{""team"": ""backend"", ""env"": ""development""}",azure-backend,eastus
2025-10-17,Azure CDN,GB Transferred,13.2966,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,southeastasia
2025-10-17,Azure CDN,GB Transferred,13.1263,platform-rg,"{""team"": ""platform"", ""env"": ""staging""}",azure-platform,eastus
2025-10-17,Azure CDN,GB Transferred,13.7928,platform-rg,"{""team"": ""platform"", ""env"": ""development""}",azure-platform,westeurope
2025-10-17,Azure CDN,GB Transferred,13.264,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""production""}",azure-data-eng,southeastasia
2025-10-17,Azure CDN,GB Transferred,13.6536,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""staging""}",azure-data-eng,southeastasia
2025-10-17,Azure CDN,GB Transferred,12.8584,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""development""}",azure-data-eng,southeastasia
2025-10-17,Azure CDN,GB Transferred,12.3844,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""production""}",azure-ml-team,southeastasia
2025-10-17,Azure CDN,GB Transferred,12.049,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""staging""}",azure-ml-team,southeastasia
2025-10-17,Azure CDN,GB Transferred,11.9131,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""development""}",azure-ml-team,southeastasia
2025-10-17,Azure CDN,GB Transferred,10.8433,frontend-rg,"{""team"": ""frontend"", ""env"": ""production""}",azure-frontend,southeastasia
2025-10-17,Azure CDN,GB Transferred,11.634,frontend-rg,"{""team"": ""frontend"", ""env"": ""staging""}",azure-frontend,southeastasia
2025-10-17,Azure CDN,GB Transferred,11.6011,frontend-rg,"{""team"": ""frontend"", ""env"": ""development""}",azure-frontend,westeurope
2025-10-17,Azure CDN,GB Transferred,12.0955,backend-rg,"{""team"": ""backend"", ""env"": ""production""}",azure-backend,westeurope
2025-10-17,Azure CDN,GB Transferred,14.4563,backend-rg,"{""team"": ""backend"", ""env"": ""staging""}",azure-backend,eastus
2025-10-17,Azure CDN,GB Transferred,12.4945,backend-rg,"{""team"": ""backend"", ""env"": ""development""}",azure-backend,southeastasia
2025-10-17,Azure Functions,Executions,14.9948,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,southeastasia
2025-10-17,Azure Functions,Executions,15.0365,platform-rg,"{""team"": ""platform"", ""env"": ""staging""}",azure-platform,southeastasia
2025-10-17,Azure Functions,Executions,16.7723,platform-rg,"{""team"": ""platform"", ""env"": ""development""}",azure-platform,southeastasia
2025-10-17,Azure Functions,Executions,13.9152,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""production""}",azure-data-eng,eastus
2025-10-17,Azure Functions,Executions,14.3816,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""staging""}",azure-data-eng,westeurope
2025-10-17,Azure Functions,Executions,14.5352,data-eng-rg,"{""team"": ""data-eng"", ""env"": ""development""}",azure-data-eng,westeurope
2025-10-17,Azure Functions,Executions,16.1766,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""production""}",azure-ml-team,eastus
2025-10-17,Azure Functions,Executions,16.4508,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""staging""}",azure-ml-team,southeastasia
2025-10-17,Azure Functions,Executions,15.3023,ml-team-rg,"{""team"": ""ml-team"", ""env"": ""development""}",azure-ml-team,westeurope
2025-10-17,Azure Functions,Executions,16.3039,frontend-rg,"{""team"": ""frontend"", ""env"": ""production""}",azure-frontend,westeurope
2025-10-17,Azure Functions,Executions,14.9101,frontend-rg,"{""team"": ""frontend"", ""env"": ""staging""}",azure-frontend,westeurope
2025-10-17,Azure Functions,Executions,14.4475,frontend-rg,"{""team"": ""frontend"", ""env"": ""development""}",azure-frontend,westeurope
2025-10-17,Azure Functions,Executions,16.2323,backend-rg,"{""team"": ""backend"", ""env"": ""production""}",azure-backend,southeastasia
2025-10-17,Azure Functions,Executions,15.3195,backend-rg,"{""team"": ""backend"", ""env"": ""staging""}",azure-backend,eastus
2025-10-17,Azure Functions,Executions,13.704,backend-rg,"{""team"": ""backend"", ""env"": ""development""}",azure-backend,southeastasia
2025-10-17,Azure Bandwidth,GB Egress,27.624,platform-rg,"{""team"": ""platform"", ""env"": ""production""}",azure-platform,eastus
